// Attribute descriptions
"Attrib_ClipSize_Positive"					"+%s1% clip size"
"Attrib_ClipSize_Negative"					"%s1% clip size"
"Attrib_UberchargeRate_Positive"			"+%s1% ÜberCharge rate"
"Attrib_UberchargeRate_Negative"			"%s1% ÜberCharge rate"
"Attrib_OverhealUberchargeRate_Negative"	"%s1% ÜberCharge rate on Overhealed patients"
"Attrib_DamageDone_Positive"				"+%s1% damage bonus"
"Attrib_DamageDone_Negative"				"%s1% damage penalty"
"Attrib_HealRate_Positive"					"+%s1% heal rate"
"Attrib_HealRate_Negative"					"%s1% heal rate"
"Attrib_FireRate_Positive"					"+%s1% faster firing speed"
"Attrib_FireRate_Negative"					"%s1% slower firing speed"
"Attrib_OverhealAmount_Positive"			"+%s1% max overheal"
"Attrib_OverhealDecay_Disabled"				"Overheal bonus doesn't decay"
"Attrib_OverhealDecay_Positive"				"+%s1% longer overheal time"
"Attrib_OverhealDecay_Negative"				"%s1% shorter overheal time"
"Attrib_HealOnHit_Positive"					"On Hit: Gain up to +%s1 health"
"Attrib_HealOnHit_Negative"					"On Hit: %s1 health"
"Attrib_HealthOnRadiusDamage"				"On Hit: Gain up to +%s1 health per attack"
"Attrib_CritChance_Positive"				"+%s1 critical hit chance"
"Attrib_CritChance_Negative"				"%s1 critical hit chance"
"Attrib_CritChance_Disabled"				"No random critical hits"
"Attrib_AddUber_OnHit_Positive"				"On Hit: %s1% ÜberCharge added"
"Attrib_Medigun_CritBoost"					"ÜberCharge grants 100% critical chance"
"Attrib_DamageDoneBonus_Positive"			"On Hit: +%s1% damage bonus"
"Attrib_CritVsBurning"						"100% critical hit vs burning players"
"Attrib_AxtinguisherProperties"				"100% critical hits burning players from behind\nMini-crits burning players from the front"
"Attrib_DmgPenaltyVsNonBurning"				"%s1% damage vs non-burning players"
"Attrib_NoCritVsNonBurning"					"No critical hits vs non-burning players"
"Attrib_ModFlamethrowerPush"				"No compression blast"
"Attrib_ModFlamethrower_BackCrits"			"100% critical hits from behind"
"Attrib_MaxHealth_Positive"					"+%s1 max health on wearer"
"Attrib_MaxHealth_Negative"					"%s1 max health on wearer"
"Attrib_FistsHaveRadialBuff"				"On Kill: +50 health on nearby teammates\nOn Kill: +10% Crit Chance on nearby teammates"
"Attrib_CritBoost_OnKill"					"On Kill: %s1 seconds of 100% critical chance"
"Attrib_Slow_Enemy_OnHit"					"On Hit: %s1% chance to slow target"
"Attrib_CloakMeterConsumeRate"				"+%s1% cloak drain rate"
"Attrib_CloakMeterRegenRate"				"+%s1% cloak regen rate"
"Attrib_Spread_Negative"					"%s1% less accurate"
"Attrib_Spread_Positive"					"%s1% more accurate"
"Attrib_BatLaunchesBalls"					"Alt-Fire: Launches a ball that slows opponents"
"Attrib_DmgPenaltyVsNonStunned"				"%s1% damage vs non-stunned players"
"Attrib_ZoomSpeedMod_Disabled"				"No move speed penalty from zoom"
"Attrib_SniperCharge_Per_Sec"				"+%s1% charge rate"
"Attrib_SniperNoHeadshots"					"No headshots"
"Attrib_Scattergun_HasKnockback"			"Knockback on the target and shooter"
"Attrib_BulletsPerShot_Bonus"				"+%s1% bullets per shot"
"Attrib_SniperZoom_Penalty"					"%s1% zoom reduction"
"Attrib_SniperNoCharge"						"No zoom or damage charge"
"Attrib_CloakIsFeignDeath"					"Cloak Type: Feign Death.\nLeave a fake corpse on taking damage\nand temporarily gain invisibility, speed and damage resistance."
"Attrib_CloakIsMovementBased"				"Cloak Type: Motion Sensitive.\nAlt-Fire: Turn invisible.  Cannot attack while invisible.  Bumping in to enemies will make you slightly visible to enemies.\nCloak drain rate based on movement speed."
"Attrib_NoDoubleJump"						"Disables double jump"
"Attrib_AbsorbDmgWhileCloaked"				"Absorbs %s1% damage while cloaked"
"Attrib_RevolverUseHitLocations"			"Crits on headshot"
"Attrib_FireRetardant"						"Wearer cannot ignite"
"Attrib_BackstabShield"						"Blocks a single backstab attempt"
"Attrib_MoveSpeed_Penalty"					"%s1% slower move speed on wearer"
"Attrib_Jarate_Description"					"Coated enemies take mini-crits\nCan be used to extinguish fires"
"Attrib_HealthRegen"						"+%s1 health regenerated per second on wearer"
"Attrib_HealthDrain"						"%s1 health drained per second on wearer"
"Attrib_HealthDrainMedic"					"%s1 health regenerated per second on wearer"
"Attrib_SelfDmgPush_Increased"				"+%s1% self damage force"
"Attrib_SelfDmgPush_Decreased"				"%s1% self damage force"
"Attrib_DmgTaken_From_Fire_Reduced"			"+%s1% fire damage resistance on wearer"
"Attrib_DmgTaken_From_Fire_ReducedActive"	"+%s1% fire damage resistance while deployed"
"Attrib_DmgTaken_From_Fire_Increased"		"%s1% fire damage vulnerability on wearer"
"Attrib_DmgTaken_From_Crit_Reduced"			"+%s1% critical hit damage resistance on wearer"
"Attrib_DmgTaken_From_Crit_Increased"		"%s1% critical hit damage vulnerability on wearer"
"Attrib_DmgTaken_From_Blast_Reduced"		"+%s1% explosive damage resistance on wearer"
"Attrib_DmgTaken_From_Blast_Increased"		"%s1% explosive damage vulnerability on wearer"
"Attrib_DmgTaken_From_Bullets_Reduced"		"+%s1% bullet damage resistance on wearer"
"Attrib_DmgTaken_From_Bullets_Increased"	"%s1% bullet damage vulnerability on wearer"
"Attrib_DmgTaken_Increased"					"%s1% damage vulnerability on wearer"
"Attrib_CaptureValue_Increased"				"+%s1 capture rate on wearer"
"Attrib_HealthFromHealers_Reduced"			"%s1% health from healers on wearer"
"Attrib_HealthFromHealers_Increased"		"+%s1% health from healers on wearer"
"Attrib_WpnBurnDmg_Increased"				"+%s1% afterburn damage bonus"
"Attrib_WpnBurnDmg_Reduced"					"%s1% afterburn damage penalty"
"Attrib_WpnBurnTime_Increased"				"+%s1% afterburn duration"
"Attrib_WpnBurnTime_Reduced"				"%s1% afterburn duration"
"Attrib_GestureSpeed_Increase"				"+%s1% faster taunt speed on wearer"
"Attrib_AimingMoveSpeed_Increased"			"+%s1% faster move speed while deployed"
"Attrib_AimingMoveSpeed_Decreased"			"%s1% slower move speed while deployed"
"Attrib_MaxammoPrimary_Increased"			"+%s1% max primary ammo on wearer"
"Attrib_MaxammoPrimary_Reduced"				"%s1% max primary ammo on wearer"
"Attrib_MaxammoSecondary_Increased"			"+%s1% max secondary ammo on wearer"
"Attrib_MaxammoSecondary_Reduced"			"%s1% max secondary ammo on wearer"
"Attrib_MaxammoMetal_Increased"				"+%s1% max metal on wearer"
"Attrib_MaxammoMetal_Reduced"				"%s1% max metal on wearer"
"Attrib_CloakConsumeRate_Increased"			"-%s1% cloak duration"
"Attrib_CloakConsumeRate_Decreased"			"+%s1% cloak duration"
"Attrib_CloakRegenRate_Increased"			"+%s1% cloak regeneration rate"
"Attrib_CloakRegenRate_Decreased"			"%s1% cloak regeneration rate"
"Attrib_MinigunSpinup_Increased"			"%s1% slower spin up time"
"Attrib_MinigunSpinup_Decreased"			"%s1% faster spin up time"
"Attrib_MaxPipebombs_Increased"				"+%s1 max pipebombs out"
"Attrib_MaxPipebombs_Decreased"				"%s1 max pipebombs out"
"Attrib_SRifleChargeRate_Increased"			"%s1% faster power charge"
"Attrib_SRifleChargeRate_Decreased"			"%s1% slower power charge"
"Attrib_ConstructionRate_Increased"			"Construction hit speed boost increased by %s1%"
"Attrib_ConstructionRate_Decreased"			"Construction hit speed boost decreased by %s1%"
"Attrib_RepairRate_Increased"				"%s1% faster repair rate"
"Attrib_RepairRate_Decreased"				"%s1% slower repair rate"
"Attrib_UpgradeRate_Decreased"				"%s1% slower upgrade rate"
"Attrib_metal_pickup_decreased"				"%s1% less metal from pickups and dispensers"
"Attrib_ReloadTime_Increased"				"%s1% slower reload time"
"Attrib_ReloadTime_Decreased"				"%s1% faster reload time"
"Attrib_BlastRadius_Increased"				"+%s1% explosion radius"
"Attrib_BlastRadius_Decreased"				"%s1% explosion radius"
"Attrib_ProjectileRange_Increased"			"+%s1% projectile range"
"Attrib_ProjectileRange_Decreased"			"%s1% projectile range"
"Attrib_ProjectileSpeed_Increased"			"+%s1% projectile speed"
"Attrib_ProjectileSpeed_Decreased"			"%s1% projectile speed"
"Attrib_OverhealAmount_Negative"			"%s1% max overheal"
"Attrib_MoveSpeed_Bonus"					"+%s1% faster move speed on wearer"
"Attrib_MoveSpeed_Bonus_ShieldRequired"		"+%s1% faster move speed on wearer (shield required)"
"Attrib_HealthFromPacks_Increased"			"+%s1% health from packs on wearer"
"Attrib_HealthFromPacks_Decreased"			"%s1% health from packs on wearer"
"Attrib_AmmoRegen"							"+%s1% ammo regenerated every 5 seconds on wearer"
"Attrib_MetalRegen"							"+%s1 metal regenerated every 5 seconds on wearer"
"Attrib_RocketLauncherSeeker"				"Fires laser guided rockets"
"Attrib_ShovelDamageBoost"					"Damage increases as the user becomes injured"
"Attrib_ShovelSpeedBoost"					"Move speed increases as the user becomes injured"
"Attrib_WeaponBlocksHealing"				"Blocks healing while in use"
"Attrib_Dmg_Falloff_Decreased"				"%s1% splash damage fall off"
"Attrib_Dmg_Falloff_Increase"				"+%s1% splash damage fall off"
"Attrib_StickyDetonateMode"					"Detonates stickybombs near the crosshair and directly under your feet"
"Attrib_StickyAirBurstMode"					"Launched bombs shatter on surfaces"
"Attrib_StickyArmTimePenalty"				"%s1 sec slower bomb arm time"
"Attrib_StickyArmTimeBonus"					"%s1 sec faster bomb arm time"
"Attrib_MiniCritAirborneEnemies"			"Mini-crits targets launched airborne by explosions, grapple hooks or rocket packs"
"Attrib_MiniCritAirborneEnemiesDeploy"		""
"Attrib_CritWhileAirborne"					"Deals crits while the wielder is rocket jumping"
"Attrib_StickiesDetonateStickies"			"Able to destroy enemy stickybombs"
"Attrib_SpeedBoostWhenActive"				"%s1% speed boost while active weapon"
"Attrib_WrenchBuildsMiniSentry"				"Replaces the Sentry with a Mini-Sentry"
"Attrib_GunslingerPunchCombo"				"Third successful punch in a row always crits"
"Attrib_ProvideOnActive"					"When weapon is active:"
"Attrib_MedicRegenBonus"					"+%s1% natural regen rate"
"Attrib_MedicRegenPenalty"					"-%s1% natural regen rate"
"Attrib_Community_Description"				"Given to valuable Community Contributors"
"Attrib_MedalIndex_Description"				"Medal no. %s1"
"Attrib_RocketJumpDmgReduction"				"%s1% blast damage from rocket jumps"
"Attrib_Selfmade_Description"				"I made this!"
"Attrib_SetItemTintRGB"						"Item tint color code: %s1"
"Attrib_SentryKilledRevenge"				"Gain 2 revenge crits for each sentry kill and\n1 for each sentry assist when your sentry is destroyed"
"Attrib_LoseRevengeCritsOnDeath"			"Revenge crits are lost on death"
"Attrib_ExtinguishRevenge"					"Alt-Fire: Extinguish teammates to gain guaranteed critical hits"
"Attrib_BurnDamageEarnsRage"				"Build 'Mmmph' by dealing damage.\nAlt-Fire on full 'Mmmph': Taunt to gain crit for several seconds.\nInvulnerable while 'Mmmph' taunting."
"Attrib_DmgVsBuilding_Increased"			"+%s1% damage vs buildings"
"Attrib_DmgVsBuilding_decreased"			"%s1% damage penalty vs buildings"
"Attrib_DmgVsPlayer_Decreased"				"%s1% damage vs players"
"Attrib_LunchboxAddsMaxHealth"				"Adds +50 max health for 30 seconds"
"Attrib_LunchboxAddsMinicrits"				"Sets weapon mode #%s1"
"Attrib_EmployeeNumber"						"Hire Date: %s1"
"Attrib_WrenchNumber"						"Wrench no. %s1"
"Attrib_DmgAppliesToSappers"				"Damage removes Sappers"
"Attrib_BuildingCostReduction"				"%s1 metal reduction in building cost"
"Attrib_BleedingDuration"					"On Hit: Bleed for %s1 seconds"
"Attrib_TurnToGold"							"Imbued with an ancient power"
"Attrib_CustomTexture"						"Custom Texture"
"Attrib_NoiseMaker"							"Noise Maker"
"Attrib_Always_Tradable"					"Always Tradable"
"Attrib_CannotTrade"						"Not Tradable or Marketable"
"Attrib_CannotTradeOrCraft"					"Not Tradable, Marketable, or Usable in Crafting"
"Attrib_NonEconomyItem"						"Not Tradable, Marketable, Usable in Crafting, or Gift Wrappable"
"Attrib_DisguiseOnBackstab"					"Upon a successful backstab against a human target, you rapidly disguise as your victim"
"Attrib_CannotDisguise"						"Wearer cannot disguise"
"Attrib_SilentKiller"						"Silent Killer: No attack noise from backstabs"
"Attrib_DisguiseSpeedPenalty"				"%s1 sec slower disguise speed"
"Attrib_DisguiseNoBurn"						"Immune to fire damage while disguised"
"Attrib_AddCloakOnKill"						"+%s1% cloak on kill"
"Attrib_AddCloakOnHit"						"+%s1% cloak on hit"
"Attrib_CloakBlinkTimePenalty"				"%s1 sec longer cloak blink time"
"Attrib_QuietUnstealth"						"Reduced decloak sound volume"
"Attrib_FlameSize_Negative"					"%s1% less flame spread area"
"Attrib_FlameSize_Positive"					"+%s1% more flame spread area"
"Attrib_FlameLife_Negative"					"%s1% less flame distance"
"Attrib_FlameLife_Positive"					"+%s1% more flame distance"
"Attrib_ChargedAirblast"					"Airblast can now be charged, which will push enemies further"
"Attrib_AirblastDisabled"					"No airblast"
"Attrib_DmgFromSentryReduced"				"+%s1% sentry damage resistance on wearer"
"Attrib_AirblastCost_Increased"				"+%s1% airblast cost"
"Attrib_AirblastCost_Decreased"				"%s1% airblast cost"
"Attrib_ExtinguishRestoresHealth"			"Extinguishing teammates restores %s1 health"
"Attrib_ExtinguishReducesCooldown"			"Extinguishing teammates reduces cooldown by %s1%"
"Attrib_Purchased"							"Purchased: Not Tradable, Marketable, or Usable in Crafting"
"Attrib_Promotion"							"Store Promotion Item: Not Tradable or Marketable"
"Attrib_InUse"								"Currently In Use"
"Attrib_SpecialItem"						"Not Tradable, Marketable, or Usable in Crafting"
"Attrib_FlameAmmoPerSec_Increased"			"+%s1% flamethrower ammo consumed per second"
"Attrib_FlameAmmoPerSec_Decreased"			"%s1% flamethrower ammo consumed per second"
"Attrib_JarateDuration"						"On Scoped Hit: Apply Jarate for 2 to %s1 seconds based on charge level.\nNature's Call: Scoped headshots always mini-crit and reduce the remaining cooldown of Jarate by 1 second."
"Attrib_NoDeathFromHeadshots"				"The wearer cannot be killed by headshots"
"Attrib_AchievementItem"					"Achievement Item: Not Tradable or Marketable"
"Attrib_UntradableFreeContractReward"		"Free Contract Reward: Not Tradable or Marketable"
"Attrib_CannotCraft"						"Not Usable in Crafting"
"Attrib_CannotCraftWeapons"					"Weapons Are Not Usable in Crafting"
"Attrib_DeployTime_Increased"				"%s1% longer weapon switch"
"Attrib_DeployTime_Decreased"				"%s1% faster weapon switch"
"Attrib_SingleWepDeployBonus"				"This weapon deploys %s1% faster"
"Attrib_SingleWepHolsterBonus"				"This weapon holsters %s1% faster"
"Attrib_SingleWepDeployPenalty"				"This weapon deploys %s1% slower"
"Attrib_SingleWepHolsterPenalty"			"This weapon holsters %s1% slower"
"Attrib_RocketJump_DeployTime_DecreasedSingle"	"Deploys %s1% faster while rocket jumping"
"Attrib_MinicritsBecomeCrits"				"Crits whenever it would normally mini-crit"
"Attrib_CritsBecomeMinicrits"				"Minicrits whenever it would normally crit"
