// Attribute descriptions
"Attrib_ClipSize_Positive"					"+%s% clip size"
"Attrib_ClipSize_Negative"					"%s% clip size"
"Attrib_UberchargeRate_Positive"			"+%s% ÜberCharge rate"
"Attrib_UberchargeRate_Negative"			"%s% ÜberCharge rate"
"Attrib_OverhealUberchargeRate_Negative"	"%s% ÜberCharge rate on Overhealed patients"
"Attrib_DamageDone_Positive"				"+%s% damage bonus"
"Attrib_DamageDone_Negative"				"%s% damage penalty"
"Attrib_HealRate_Positive"					"+%s% heal rate"
"Attrib_HealRate_Negative"					"%s% heal rate"
"Attrib_FireRate_Positive"					"+%s% faster firing speed"
"Attrib_FireRate_Negative"					"%s% slower firing speed"
"Attrib_OverhealAmount_Positive"			"+%s% max overheal"
"Attrib_OverhealDecay_Disabled"				"Overheal bonus doesn't decay"
"Attrib_OverhealDecay_Positive"				"+%s% longer overheal time"
"Attrib_OverhealDecay_Negative"				"%s% shorter overheal time"
"Attrib_HealOnHit_Positive"					"On Hit: Gain up to +%s health"
"Attrib_HealOnHit_Negative"					"On Hit: %s health"
"Attrib_HealthOnRadiusDamage"				"On Hit: Gain up to +%s health per attack"
"Attrib_CritChance_Positive"				"+%s critical hit chance"
"Attrib_CritChance_Negative"				"%s critical hit chance"
"Attrib_CritChance_Disabled"				"No random critical hits"
"Attrib_AddUber_OnHit_Positive"				"On Hit: %s% ÜberCharge added"
"Attrib_Medigun_CritBoost"					"ÜberCharge grants 100% critical chance"
"Attrib_DamageDoneBonus_Positive"			"On Hit: +%s% damage bonus"
"Attrib_CritVsBurning"						"100% critical hit vs burning players"
"Attrib_AxtinguisherProperties"				"100% critical hits burning players from behind\nMini-crits burning players from the front"
"Attrib_DmgPenaltyVsNonBurning"				"%s% damage vs non-burning players"
"Attrib_NoCritVsNonBurning"					"No critical hits vs non-burning players"
"Attrib_ModFlamethrowerPush"				"No compression blast"
"Attrib_ModFlamethrower_BackCrits"			"100% critical hits from behind"
"Attrib_MaxHealth_Positive"					"+%s max health on wearer"
"Attrib_MaxHealth_Negative"					"%s max health on wearer"
"Attrib_FistsHaveRadialBuff"				"On Kill: +50 health on nearby teammates\nOn Kill: +10% Crit Chance on nearby teammates"
"Attrib_CritBoost_OnKill"					"On Kill: %s seconds of 100% critical chance"
"Attrib_Slow_Enemy_OnHit"					"On Hit: %s% chance to slow target"
"Attrib_CloakMeterConsumeRate"				"+%s% cloak drain rate"
"Attrib_CloakMeterRegenRate"				"+%s% cloak regen rate"
"Attrib_Spread_Negative"					"%s% less accurate"
"Attrib_Spread_Positive"					"%s% more accurate"
"Attrib_BatLaunchesBalls"					"Alt-Fire: Launches a ball that slows opponents"
"Attrib_DmgPenaltyVsNonStunned"				"%s% damage vs non-stunned players"
"Attrib_ZoomSpeedMod_Disabled"				"No move speed penalty from zoom"
"Attrib_SniperCharge_Per_Sec"				"+%s% charge rate"
"Attrib_SniperNoHeadshots"					"No headshots"
"Attrib_Scattergun_HasKnockback"			"Knockback on the target and shooter"
"Attrib_BulletsPerShot_Bonus"				"+%s% bullets per shot"
"Attrib_SniperZoom_Penalty"					"%s% zoom reduction"
"Attrib_SniperNoCharge"						"No zoom or damage charge"
"Attrib_CloakIsFeignDeath"					"Cloak Type: Feign Death.\nLeave a fake corpse on taking damage\nand temporarily gain invisibility, speed and damage resistance."
"Attrib_CloakIsMovementBased"				"Cloak Type: Motion Sensitive.\nAlt-Fire: Turn invisible.  Cannot attack while invisible.  Bumping in to enemies will make you slightly visible to enemies.\nCloak drain rate based on movement speed."
"Attrib_NoDoubleJump"						"Disables double jump"
"Attrib_AbsorbDmgWhileCloaked"				"Absorbs %s% damage while cloaked"
"Attrib_RevolverUseHitLocations"			"Crits on headshot"
"Attrib_FireRetardant"						"Wearer cannot ignite"
"Attrib_BackstabShield"						"Blocks a single backstab attempt"
"Attrib_MoveSpeed_Penalty"					"%s% slower move speed on wearer"
"Attrib_Jarate_Description"					"Coated enemies take mini-crits\nCan be used to extinguish fires"
"Attrib_HealthRegen"						"+%s health regenerated per second on wearer"
"Attrib_HealthDrain"						"%s health drained per second on wearer"
"Attrib_HealthDrainMedic"					"%s health regenerated per second on wearer"
"Attrib_SelfDmgPush_Increased"				"+%s% self damage force"
"Attrib_SelfDmgPush_Decreased"				"%s% self damage force"
"Attrib_DmgTaken_From_Fire_Reduced"			"+%s% fire damage resistance on wearer"
"Attrib_DmgTaken_From_Fire_ReducedActive"	"+%s% fire damage resistance while deployed"
"Attrib_DmgTaken_From_Fire_Increased"		"%s% fire damage vulnerability on wearer"
"Attrib_DmgTaken_From_Crit_Reduced"			"+%s% critical hit damage resistance on wearer"
"Attrib_DmgTaken_From_Crit_Increased"		"%s% critical hit damage vulnerability on wearer"
"Attrib_DmgTaken_From_Blast_Reduced"		"+%s% explosive damage resistance on wearer"
"Attrib_DmgTaken_From_Blast_Increased"		"%s% explosive damage vulnerability on wearer"
"Attrib_DmgTaken_From_Bullets_Reduced"		"+%s% bullet damage resistance on wearer"
"Attrib_DmgTaken_From_Bullets_Increased"	"%s% bullet damage vulnerability on wearer"
"Attrib_DmgTaken_Increased"					"%s% damage vulnerability on wearer"
"Attrib_CaptureValue_Increased"				"+%s capture rate on wearer"
"Attrib_HealthFromHealers_Reduced"			"%s% health from healers on wearer"
"Attrib_HealthFromHealers_Increased"		"+%s% health from healers on wearer"
"Attrib_WpnBurnDmg_Increased"				"+%s% afterburn damage bonus"
"Attrib_WpnBurnDmg_Reduced"					"%s% afterburn damage penalty"
"Attrib_WpnBurnTime_Increased"				"+%s% afterburn duration"
"Attrib_WpnBurnTime_Reduced"				"%s% afterburn duration"
"Attrib_GestureSpeed_Increase"				"+%s% faster taunt speed on wearer"
"Attrib_AimingMoveSpeed_Increased"			"+%s% faster move speed while deployed"
"Attrib_AimingMoveSpeed_Decreased"			"%s% slower move speed while deployed"
"Attrib_MaxammoPrimary_Increased"			"+%s% max primary ammo on wearer"
"Attrib_MaxammoPrimary_Reduced"				"%s% max primary ammo on wearer"
"Attrib_MaxammoSecondary_Increased"			"+%s% max secondary ammo on wearer"
"Attrib_MaxammoSecondary_Reduced"			"%s% max secondary ammo on wearer"
"Attrib_MaxammoMetal_Increased"				"+%s% max metal on wearer"
"Attrib_MaxammoMetal_Reduced"				"%s% max metal on wearer"
"Attrib_CloakConsumeRate_Increased"			"-%s% cloak duration"
"Attrib_CloakConsumeRate_Decreased"			"+%s% cloak duration"
"Attrib_CloakRegenRate_Increased"			"+%s% cloak regeneration rate"
"Attrib_CloakRegenRate_Decreased"			"%s% cloak regeneration rate"
"Attrib_MinigunSpinup_Increased"			"%s% slower spin up time"
"Attrib_MinigunSpinup_Decreased"			"%s% faster spin up time"
"Attrib_MaxPipebombs_Increased"				"+%s max pipebombs out"
"Attrib_MaxPipebombs_Decreased"				"%s max pipebombs out"
"Attrib_SRifleChargeRate_Increased"			"%s% faster power charge"
"Attrib_SRifleChargeRate_Decreased"			"%s% slower power charge"
"Attrib_ConstructionRate_Increased"			"Construction hit speed boost increased by %s%"
"Attrib_ConstructionRate_Decreased"			"Construction hit speed boost decreased by %s%"
"Attrib_RepairRate_Increased"				"%s% faster repair rate"
"Attrib_RepairRate_Decreased"				"%s% slower repair rate"
"Attrib_UpgradeRate_Decreased"				"%s% slower upgrade rate"
"Attrib_metal_pickup_decreased"				"%s% less metal from pickups and dispensers"
"Attrib_ReloadTime_Increased"				"%s% slower reload time"
"Attrib_ReloadTime_Decreased"				"%s% faster reload time"
"Attrib_BlastRadius_Increased"				"+%s% explosion radius"
"Attrib_BlastRadius_Decreased"				"%s% explosion radius"
"Attrib_ProjectileRange_Increased"			"+%s% projectile range"
"Attrib_ProjectileRange_Decreased"			"%s% projectile range"
"Attrib_ProjectileSpeed_Increased"			"+%s% projectile speed"
"Attrib_ProjectileSpeed_Decreased"			"%s% projectile speed"
"Attrib_OverhealAmount_Negative"			"%s% max overheal"
"Attrib_MoveSpeed_Bonus"					"+%s% faster move speed on wearer"
"Attrib_MoveSpeed_Bonus_ShieldRequired"		"+%s% faster move speed on wearer (shield required)"
"Attrib_HealthFromPacks_Increased"			"+%s% health from packs on wearer"
"Attrib_HealthFromPacks_Decreased"			"%s% health from packs on wearer"
"Attrib_AmmoRegen"							"+%s% ammo regenerated every 5 seconds on wearer"
"Attrib_MetalRegen"							"+%s metal regenerated every 5 seconds on wearer"
"Attrib_RocketLauncherSeeker"				"Fires laser guided rockets"
"Attrib_ShovelDamageBoost"					"Damage increases as the user becomes injured"
"Attrib_ShovelSpeedBoost"					"Move speed increases as the user becomes injured"
"Attrib_WeaponBlocksHealing"				"Blocks healing while in use"
"Attrib_Dmg_Falloff_Decreased"				"%s% splash damage fall off"
"Attrib_Dmg_Falloff_Increase"				"+%s% splash damage fall off"
"Attrib_StickyDetonateMode"					"Detonates stickybombs near the crosshair and directly under your feet"
"Attrib_StickyAirBurstMode"					"Launched bombs shatter on surfaces"
"Attrib_StickyArmTimePenalty"				"%s sec slower bomb arm time"
"Attrib_StickyArmTimeBonus"					"%s sec faster bomb arm time"
"Attrib_MiniCritAirborneEnemies"			"Mini-crits targets launched airborne by explosions, grapple hooks or rocket packs"
"Attrib_MiniCritAirborneEnemiesDeploy"		""
"Attrib_CritWhileAirborne"					"Deals crits while the wielder is rocket jumping"
